duel,ply,algorithm,eval_name,order_name,depth,player_hp,npc_hp,player_potions,npc_potions,player_defending,npc_defending,best_action,best_score,minimax_nodes,alphabeta_nodes,pruned_nodes,cutoffs,prune_efficiency,evaluations,time_ms,is_last
0,2,alphabeta,balanced,default,4,100,81,3,3,False,False,ATTACK,-19,0,207,0,27,0.0,146,2.892,False
0,4,alphabeta,balanced,default,4,84,63,3,3,False,False,ATTACK,-21,0,222,0,29,0.0,158,2.377,False
0,6,alphabeta,balanced,default,4,69,44,3,3,False,False,POTION,-28,0,225,0,26,0.0,161,1.99,False
0,8,alphabeta,balanced,default,4,69,53,3,2,False,False,ATTACK,-26,0,237,0,31,0.0,170,2.098,False
0,10,alphabeta,balanced,default,4,49,35,3,2,False,False,POTION,-27,0,203,0,27,0.0,142,1.816,False
0,12,alphabeta,balanced,default,4,49,43,3,1,False,False,POTION,-29,0,213,0,23,0.0,152,2.034,False
0,14,alphabeta,balanced,default,4,49,51,3,0,False,False,ATTACK,-28,0,138,0,15,0.0,97,1.227,False
0,16,alphabeta,balanced,default,4,32,32,3,0,False,False,ATTACK,-27,0,104,0,13,0.0,71,0.925,False
0,18,alphabeta,balanced,default,4,40,32,2,0,False,False,ATTACK,-25,0,130,0,14,0.0,91,1.155,False
0,20,alphabeta,balanced,default,4,21,32,2,0,True,False,ATTACK,-15,0,111,0,12,0.0,77,1.003,False
0,22,alphabeta,balanced,default,4,37,32,1,0,False,False,ATTACK,-12,0,113,0,15,0.0,76,1.014,False
0,24,alphabeta,balanced,default,4,17,32,1,0,True,False,ATTACK,-1,0,78,0,13,0.0,49,0.71,False
0,26,alphabeta,balanced,default,4,34,32,0,0,False,False,SPECIAL,1002,0,58,0,9,0.0,34,0.528,False
0,28,alphabeta,balanced,default,4,4,2,0,0,False,False,ATTACK,1002,0,5,0,1,0.0,3,0.059,True
1,2,alphabeta,balanced,default,4,100,82,3,3,False,False,ATTACK,-18,0,207,0,27,0.0,146,1.847,False
1,4,alphabeta,balanced,default,4,80,62,3,3,False,False,ATTACK,-18,0,234,0,31,0.0,167,2.363,False
1,6,alphabeta,balanced,default,4,64,45,3,3,False,False,POTION,-22,0,225,0,26,0.0,161,2.756,False
1,8,alphabeta,balanced,default,4,64,53,3,2,False,False,ATTACK,-21,0,237,0,31,0.0,170,2.826,False
1,10,alphabeta,balanced,default,4,46,37,3,2,False,False,ATTACK,-16,0,234,0,30,0.0,168,2.083,False
1,12,alphabeta,balanced,default,4,26,37,3,2,True,False,POTION,1,0,228,0,31,0.0,164,2.014,False
1,14,alphabeta,balanced,default,4,26,62,3,1,True,False,POTION,16,0,211,0,28,0.0,151,1.962,False
1,16,alphabeta,balanced,default,4,26,87,3,0,True,False,ATTACK,25,0,119,0,13,0.0,83,1.064,False
1,18,alphabeta,balanced,default,4,18,87,3,0,True,False,ATTACK,33,0,86,0,13,0.0,57,0.778,False
1,20,alphabeta,balanced,default,4,33,87,2,0,False,False,ATTACK,37,0,110,0,13,0.0,76,0.987,False
1,22,alphabeta,balanced,default,4,18,87,2,0,True,False,ATTACK,43,0,86,0,13,0.0,57,0.787,False
1,24,alphabeta,balanced,default,4,34,87,1,0,False,False,ATTACK,46,0,106,0,14,0.0,71,0.958,False
1,26,alphabeta,balanced,default,4,40,87,0,0,False,False,SPECIAL,62,0,78,0,9,0.0,49,0.705,False
1,28,alphabeta,balanced,default,4,10,87,0,0,True,False,ATTACK,1057,0,27,0,5,0.0,14,0.265,True
2,2,alphabeta,balanced,default,4,100,80,3,3,False,False,ATTACK,-20,0,207,0,27,0.0,146,1.87,False
2,4,alphabeta,balanced,default,4,84,62,3,3,False,False,ATTACK,-22,0,222,0,29,0.0,158,1.992,False
2,6,alphabeta,balanced,default,4,64,42,3,3,False,False,POTION,-25,0,225,0,26,0.0,161,3.399,False
2,8,alphabeta,balanced,default,4,64,47,3,2,False,False,POTION,-30,0,225,0,26,0.0,161,1.993,False
2,10,alphabeta,balanced,default,4,64,55,3,1,False,False,ATTACK,-29,0,225,0,28,0.0,161,2.006,False
2,12,alphabeta,balanced,default,4,44,36,3,1,False,False,ATTACK,-25,0,222,0,27,0.0,159,1.982,False
2,14,alphabeta,balanced,default,4,25,36,3,1,True,False,POTION,-9,0,211,0,27,0.0,151,1.875,False
2,16,alphabeta,balanced,default,4,25,61,3,0,True,False,ATTACK,0,0,119,0,13,0.0,83,1.087,False
2,18,alphabeta,balanced,default,4,16,61,3,0,True,False,ATTACK,9,0,86,0,13,0.0,57,0.774,False
2,20,alphabeta,balanced,default,4,32,61,2,0,False,False,ATTACK,12,0,110,0,13,0.0,76,0.983,False
2,22,alphabeta,balanced,default,4,40,61,1,0,False,False,ATTACK,14,0,128,0,14,0.0,88,1.138,False
2,24,alphabeta,balanced,default,4,21,61,1,0,True,False,ATTACK,24,0,98,0,13,0.0,65,0.869,False
2,26,alphabeta,balanced,default,4,37,61,0,0,False,False,SPECIAL,1031,0,73,0,10,0.0,45,0.662,False
2,28,alphabeta,balanced,default,4,7,31,0,0,False,False,ATTACK,1031,0,8,0,2,0.0,4,0.082,True
3,2,alphabeta,balanced,default,4,100,82,3,3,False,False,ATTACK,-18,0,207,0,27,0.0,146,1.852,False
3,4,alphabeta,balanced,default,4,84,64,3,3,False,False,ATTACK,-20,0,222,0,29,0.0,158,1.974,False
3,6,alphabeta,balanced,default,4,68,46,3,3,False,False,POTION,-25,0,225,0,26,0.0,161,2.38,False
3,8,alphabeta,balanced,default,4,68,51,3,2,False,False,ATTACK,-27,0,237,0,31,0.0,170,2.655,False
3,10,alphabeta,balanced,default,4,52,36,3,2,False,False,POTION,-29,0,203,0,27,0.0,142,2.074,False
3,12,alphabeta,balanced,default,4,52,46,3,1,False,False,POTION,-29,0,213,0,23,0.0,152,1.884,False
3,14,alphabeta,balanced,default,4,52,53,3,0,False,False,ATTACK,-29,0,138,0,15,0.0,97,1.231,False
3,16,alphabeta,balanced,default,4,33,35,3,0,False,False,ATTACK,-25,0,100,0,13,0.0,68,0.911,False
3,18,alphabeta,balanced,default,4,38,35,2,0,False,False,ATTACK,-20,0,117,0,14,0.0,81,1.074,False
3,20,alphabeta,balanced,default,4,22,35,2,0,True,False,ATTACK,-13,0,106,0,12,0.0,73,1.064,False
3,22,alphabeta,balanced,default,4,37,35,1,0,False,False,ATTACK,-9,0,109,0,14,0.0,73,1.08,False
3,24,alphabeta,balanced,default,4,18,35,1,0,True,False,ATTACK,1,0,78,0,13,0.0,49,1.026,False
3,26,alphabeta,balanced,default,4,34,35,0,0,False,False,SPECIAL,1005,0,55,0,9,0.0,32,0.663,False
3,28,alphabeta,balanced,default,4,4,5,0,0,False,False,ATTACK,1005,0,5,0,1,0.0,3,0.077,True
4,2,alphabeta,balanced,default,4,100,81,3,3,False,False,ATTACK,-19,0,207,0,27,0.0,146,1.828,False
4,4,alphabeta,balanced,default,4,82,65,3,3,False,False,ATTACK,-17,0,234,0,31,0.0,167,2.045,False
4,6,alphabeta,balanced,default,4,67,48,3,3,False,False,POTION,-22,0,225,0,26,0.0,161,2.012,False
4,8,alphabeta,balanced,default,4,67,55,3,2,False,False,ATTACK,-22,0,237,0,31,0.0,170,2.165,False
4,10,alphabeta,balanced,default,4,49,39,3,2,False,False,POTION,-23,0,206,0,27,0.0,145,1.834,False
4,12,alphabeta,balanced,default,4,49,48,3,1,False,False,POTION,-24,0,213,0,23,0.0,152,1.872,False
4,14,alphabeta,balanced,default,4,49,57,3,0,False,False,ATTACK,-22,0,138,0,15,0.0,97,1.213,False
4,16,alphabeta,balanced,default,4,31,37,3,0,False,False,ATTACK,-21,0,100,0,13,0.0,68,0.89,False
4,18,alphabeta,balanced,default,4,39,37,2,0,False,False,ATTACK,-19,0,117,0,14,0.0,81,1.042,False
4,20,alphabeta,balanced,default,4,23,37,2,0,True,False,ATTACK,-12,0,106,0,12,0.0,73,0.949,False
4,22,alphabeta,balanced,default,4,38,37,1,0,False,False,ATTACK,-8,0,109,0,14,0.0,73,0.979,False
4,24,alphabeta,balanced,default,4,22,37,1,0,True,False,ATTACK,-1,0,98,0,12,0.0,65,0.962,False
4,26,alphabeta,balanced,default,4,38,37,0,0,False,False,SPECIAL,1007,0,65,0,9,0.0,39,0.601,False
4,28,alphabeta,balanced,default,4,8,7,0,0,False,False,ATTACK,1007,0,5,0,1,0.0,3,0.053,True
5,2,alphabeta,balanced,default,4,100,85,3,3,False,False,ATTACK,-15,0,204,0,27,0.0,143,1.964,False
5,4,alphabeta,balanced,default,4,84,70,3,3,False,False,ATTACK,-14,0,222,0,29,0.0,158,1.992,False
5,6,alphabeta,balanced,default,4,66,52,3,3,False,False,ATTACK,-14,0,237,0,31,0.0,170,2.126,False
5,8,alphabeta,balanced,default,4,49,37,3,3,False,False,POTION,-15,0,206,0,27,0.0,145,1.831,False
5,10,alphabeta,balanced,default,4,49,44,3,2,False,False,POTION,-18,0,225,0,26,0.0,161,1.997,False
5,12,alphabeta,balanced,default,4,49,54,3,1,False,False,ATTACK,-15,0,225,0,28,0.0,161,2.022,False
5,14,alphabeta,balanced,default,4,33,36,3,1,False,False,ATTACK,-14,0,184,0,26,0.0,129,1.648,False
5,16,alphabeta,balanced,default,4,16,36,3,1,True,False,POTION,0,0,152,0,25,0.0,104,1.363,False
5,18,alphabeta,balanced,default,4,16,61,3,0,True,False,ATTACK,9,0,86,0,13,0.0,57,1.021,False
5,20,alphabeta,balanced,default,4,31,61,2,0,False,False,ATTACK,13,0,110,0,13,0.0,76,1.394,False
5,22,alphabeta,balanced,default,4,37,61,1,0,False,False,ATTACK,17,0,119,0,15,0.0,81,1.066,False
5,24,alphabeta,balanced,default,4,18,61,1,0,True,False,ATTACK,27,0,78,0,13,0.0,49,0.737,False
5,26,alphabeta,balanced,default,4,33,61,0,0,False,False,ATTACK,1031,0,63,0,9,0.0,38,0.578,False
5,28,alphabeta,balanced,default,4,16,61,0,0,True,False,ATTACK,1031,0,45,0,9,0.0,25,0.423,False
5,30,alphabeta,balanced,default,4,8,31,0,0,False,False,ATTACK,1031,0,10,0,2,0.0,6,0.099,True
6,2,alphabeta,balanced,default,4,100,84,3,3,False,False,ATTACK,-16,0,204,0,27,0.0,143,2.609,False
6,4,alphabeta,balanced,default,4,83,66,3,3,False,False,ATTACK,-17,0,234,0,31,0.0,167,2.565,False
6,6,alphabeta,balanced,default,4,63,47,3,3,False,False,POTION,-19,0,225,0,26,0.0,161,2.141,False
6,8,alphabeta,balanced,default,4,63,54,3,2,False,False,ATTACK,-19,0,237,0,31,0.0,170,2.275,False
6,10,alphabeta,balanced,default,4,43,34,3,2,False,False,ATTACK,-16,0,234,0,30,0.0,168,2.276,False
6,12,alphabeta,balanced,default,4,23,34,3,2,True,False,POTION,1,0,210,0,30,0.0,150,1.991,False
6,14,alphabeta,balanced,default,4,23,59,3,1,True,False,POTION,16,0,193,0,27,0.0,137,1.806,False
6,16,alphabeta,balanced,default,4,23,84,3,0,True,False,ATTACK,25,0,106,0,13,0.0,73,1.002,False
6,18,alphabeta,balanced,default,4,40,84,2,0,False,False,ATTACK,27,0,136,0,14,0.0,96,1.279,False
6,20,alphabeta,balanced,default,4,25,84,2,0,True,False,ATTACK,33,0,119,0,13,0.0,83,1.121,False
6,22,alphabeta,balanced,default,4,16,84,2,0,True,False,ATTACK,42,0,86,0,13,0.0,57,0.847,False
6,24,alphabeta,balanced,default,4,33,84,1,0,False,False,ATTACK,44,0,102,0,13,0.0,68,0.979,False
6,26,alphabeta,balanced,default,4,40,84,0,0,False,False,SPECIAL,59,0,78,0,9,0.0,49,0.75,False
6,28,alphabeta,balanced,default,4,10,84,0,0,True,False,ATTACK,1054,0,27,0,5,0.0,14,0.277,False
6,30,alphabeta,balanced,default,4,2,54,0,0,False,False,ATTACK,1054,0,9,0,2,0.0,5,0.097,True
7,2,alphabeta,balanced,default,4,100,84,3,3,False,False,ATTACK,-16,0,204,0,27,0.0,143,1.957,False
7,4,alphabeta,balanced,default,4,84,68,3,3,False,False,ATTACK,-16,0,222,0,29,0.0,158,2.184,False
7,6,alphabeta,balanced,default,4,66,52,3,3,False,False,ATTACK,-14,0,237,0,31,0.0,170,2.262,False
